TCONS_00006750	ENSOARG00000019613;ENSOARG00000019635
TCONS_00116345	ENSOARG00000016672
TCONS_00093550	ENSOARG00000010552
TCONS_00041962	ENSOARG00000003831
TCONS_00116248	ENSOARG00000013747
TCONS_00076764	ENSOARG00000001755
TCONS_00092654	ENSOARG00000012615;ENSOARG00000012750;ENSOARG00000012561
TCONS_00065387	ENSOARG00000006028
TCONS_00017846	ENSOARG00000003280
TCONS_00133439	ENSOARG00000000388;ENSOARG00000000447
TCONS_00107648	ENSOARG00000003746
TCONS_00107454	ENSOARG00000001078
TCONS_00010577	ENSOARG00000003954
TCONS_00131392	ENSOARG00000010604
TCONS_00084185	ENSOARG00000018468
TCONS_00010324	ENSOARG00000013543
TCONS_00133063	ENSOARG00000000250
TCONS_00138919	ENSOARG00000002269
TCONS_00084631	ENSOARG00000015248
TCONS_00046052	ENSOARG00000019935;ENSOARG00000003848
TCONS_00149167	ENSOARG00000002618
TCONS_00100881	ENSOARG00000003708;ENSOARG00000003699
TCONS_00069901	ENSOARG00000020824
TCONS_00023451	ENSOARG00000015327
TCONS_00039845	ENSOARG00000005176
TCONS_00095791	ENSOARG00000017946;ENSOARG00000017922
TCONS_00062206	ENSOARG00000012034
TCONS_00127892	ENSOARG00000009454
TCONS_00140882	ENSOARG00000020721
TCONS_00000096	ENSOARG00000000265
TCONS_00030756	ENSOARG00000000111
TCONS_00073294	ENSOARG00000015352
TCONS_00133065	ENSOARG00000000250
TCONS_00126746	ENSOARG00000010604
TCONS_00112084	ENSOARG00000020853
TCONS_00114327	ENSOARG00000018052
TCONS_00144044	ENSOARG00000009527
TCONS_00060978	ENSOARG00000015253
TCONS_00146974	ENSOARG00000020165
TCONS_00050819	ENSOARG00000012776
TCONS_00008222	ENSOARG00000003594
TCONS_00148785	ENSOARG00000001150
TCONS_00133064	ENSOARG00000000250
TCONS_00036276	ENSOARG00000012174
TCONS_00061397	ENSOARG00000013995
TCONS_00000062	ENSOARG00000018439
TCONS_00040214	ENSOARG00000007219
TCONS_00019751	ENSOARG00000013566
TCONS_00111366	ENSOARG00000006779
TCONS_00059440	ENSOARG00000005499
TCONS_00086865	ENSOARG00000003236
TCONS_00059438	ENSOARG00000005195
TCONS_00057670	ENSOARG00000017246
TCONS_00057447	ENSOARG00000003530
TCONS_00016192	ENSOARG00000007008
TCONS_00128523	ENSOARG00000005502
TCONS_00104132	ENSOARG00000001430
TCONS_00012828	ENSOARG00000018820
TCONS_00099344	ENSOARG00000017793
TCONS_00036693	ENSOARG00000014961
TCONS_00120467	ENSOARG00000002475
TCONS_00140530	ENSOARG00000020183
TCONS_00021181	ENSOARG00000013862
TCONS_00036376	ENSOARG00000018032;ENSOARG00000005426
TCONS_00040528	ENSOARG00000008877;ENSOARG00000008883
TCONS_00111398	ENSOARG00000007713
TCONS_00064245	ENSOARG00000009588
TCONS_00109426	ENSOARG00000019516
TCONS_00140883	ENSOARG00000020721
TCONS_00060212	ENSOARG00000017476
TCONS_00061394	ENSOARG00000013995
TCONS_00121655	ENSOARG00000009789
TCONS_00148277	ENSOARG00000001147
TCONS_00149342	ENSOARG00000001859
TCONS_00149341	ENSOARG00000001859
TCONS_00133060	ENSOARG00000000250
TCONS_00078210	ENSOARG00000020118
TCONS_00151582	ENSOARG00000013479
TCONS_00119823	ENSOARG00000003908
TCONS_00048961	ENSOARG00000008312
TCONS_00107647	ENSOARG00000003746
TCONS_00050902	ENSOARG00000011214
TCONS_00149426	ENSOARG00000000033;ENSOARG00000000019;ENSOARG00000000022;ENSOARG00000000027;ENSOARG00000000032;ENSOARG00000000023;ENSOARG00000000035;ENSOARG00000000021;ENSOARG00000000028;ENSOARG00000000025
TCONS_00013819	ENSOARG00000006848
TCONS_00149413	ENSOARG00000000959
TCONS_00081397	ENSOARG00000005945
TCONS_00057443	ENSOARG00000003095;ENSOARG00000003136
TCONS_00041376	ENSOARG00000012187;ENSOARG00000012166
TCONS_00026332	ENSOARG00000017614
TCONS_00117397	ENSOARG00000018218
TCONS_00081398	ENSOARG00000002439
TCONS_00141836	ENSOARG00000000991;ENSOARG00000021151
TCONS_00020394	ENSOARG00000006530
TCONS_00112086	ENSOARG00000020853
TCONS_00006877	ENSOARG00000009631
TCONS_00086538	ENSOARG00000008178
TCONS_00000636	ENSOARG00000009631
TCONS_00075028	ENSOARG00000018425
TCONS_00019508	ENSOARG00000006652
TCONS_00152134	ENSOARG00000009533
TCONS_00094483	ENSOARG00000002357
TCONS_00092645	ENSOARG00000012251
TCONS_00057579	ENSOARG00000004824
TCONS_00148526	ENSOARG00000000073
TCONS_00069506	ENSOARG00000018896
TCONS_00060977	ENSOARG00000015253
TCONS_00035625	ENSOARG00000018756
TCONS_00080031	ENSOARG00000008800
TCONS_00125597	ENSOARG00000012924
TCONS_00132079	ENSOARG00000000447;ENSOARG00000000388
TCONS_00149122	ENSOARG00000010891
TCONS_00142295	ENSOARG00000006149
TCONS_00046049	ENSOARG00000019935;ENSOARG00000003842
TCONS_00107455	ENSOARG00000001078
TCONS_00014834	ENSOARG00000013976
TCONS_00019344	ENSOARG00000018221
TCONS_00041960	ENSOARG00000003831
TCONS_00019456	ENSOARG00000000175
TCONS_00056350	ENSOARG00000017093
TCONS_00012501	ENSOARG00000010092
TCONS_00024151	ENSOARG00000016754
TCONS_00093538	ENSOARG00000010484;ENSOARG00000010552
TCONS_00118976	ENSOARG00000008174
TCONS_00037276	ENSOARG00000014268
TCONS_00059549	ENSOARG00000008742;ENSOARG00000008833
TCONS_00019455	ENSOARG00000000175
TCONS_00152251	ENSOARG00000009790
TCONS_00146552	ENSOARG00000014588
TCONS_00140880	ENSOARG00000020721
TCONS_00150567	ENSOARG00000012473
TCONS_00151304	ENSOARG00000004529
TCONS_00029745	ENSOARG00000000874
TCONS_00057627	ENSOARG00000004855
TCONS_00000612	ENSOARG00000000604;ENSOARG00000009569
TCONS_00004545	ENSOARG00000017753
TCONS_00028805	ENSOARG00000007885
TCONS_00148982	ENSOARG00000000706
TCONS_00075129	ENSOARG00000009992
TCONS_00003495	ENSOARG00000020408
TCONS_00044759	ENSOARG00000008020
TCONS_00057444	ENSOARG00000003095;ENSOARG00000003136
TCONS_00057446	ENSOARG00000003530
TCONS_00030745	ENSOARG00000004346
TCONS_00136906	ENSOARG00000019782
TCONS_00149165	ENSOARG00000002618
TCONS_00065367	ENSOARG00000004299
TCONS_00073293	ENSOARG00000015352
TCONS_00036741	ENSOARG00000006394
TCONS_00041965	ENSOARG00000019935
TCONS_00021463	ENSOARG00000001213
TCONS_00061398	ENSOARG00000013995
TCONS_00000097	ENSOARG00000000265
TCONS_00099210	ENSOARG00000017208
TCONS_00012044	ENSOARG00000020704
TCONS_00045717	ENSOARG00000019886
TCONS_00003748	ENSOARG00000001630
TCONS_00112737	ENSOARG00000018936
TCONS_00126784	ENSOARG00000010604
TCONS_00036817	ENSOARG00000008034
TCONS_00056266	ENSOARG00000015093
TCONS_00148379	ENSOARG00000000730
TCONS_00064427	ENSOARG00000014135
TCONS_00062164	ENSOARG00000011396
TCONS_00015033	ENSOARG00000017226
TCONS_00036607	ENSOARG00000013395
TCONS_00095790	ENSOARG00000017922;ENSOARG00000017946
TCONS_00061992	ENSOARG00000009588
TCONS_00028311	ENSOARG00000018490
TCONS_00021182	ENSOARG00000013862
TCONS_00146626	ENSOARG00000000576;ENSOARG00000000196
TCONS_00055832	ENSOARG00000004855
TCONS_00012830	ENSOARG00000009999
TCONS_00057964	ENSOARG00000010116
TCONS_00059268	ENSOARG00000015253
TCONS_00036022	ENSOARG00000004777
