#GeneID	Locus	Strand	Site	OriginalRegion	OptimizeRegion
ENSG00000000457	1:169821562-169863408	-	3'	169821804-169822854	169821562-169822854
ENSG00000001461	1:24742284-24800076	+	3'	24795675-24799466	24795675-24800076
ENSG00000007968	1:23832607-23857739	-	5'	23857285-23857712	23857285-23857739
ENSG00000008128	1:1570693-1655943	-	3'	1571100-1571126	1570693-1571126
ENSG00000008128	1:1570693-1655943	-	5'	1655669-1655777	1655669-1655943
ENSG00000010803	1:41492810-41707825	-	3'	41492874-41493866	41492810-41493866
ENSG00000010803	1:41492810-41707825	-	5'	41707731-41707788	41707731-41707825
ENSG00000023572	1:193065593-193084826	-	3'	193065598-193065755	193065593-193065755
ENSG00000023909	1:94350761-94375066	-	5'	94374719-94374966	94374719-94375066
