#LncRNA_ID	miRNA_hp	LncRNA_start	LncRNA_end
TCONS_00030187	hsa-mir-15a	152	70
TCONS_00030188	hsa-mir-15a	152	70
TCONS_00029225	hsa-mir-17	811	894
TCONS_00029225	hsa-mir-18a	957	1027
TCONS_00029225	hsa-mir-19a	1097	1178
TCONS_00029225	hsa-mir-19b-1	1398	1484
TCONS_00029225	hsa-mir-20a	1271	1341
TCONS_00043998	hsa-mir-22	2458	2374
TCONS_00043997	hsa-mir-22	1155	1071
