trans_id	hmm_acc	hmm_name	hmm_start	hmm_end	hmm_length	bit_score	E-value
TCONS_00000043	PF13900.1	GVQW	1	51	51	106.5	5e-31
TCONS_00000043	PF00017.19	SH2	1	41	77	52.0	4e-14
TCONS_00000044	PF00017.19	SH2	1	41	77	49.7	2.1e-13
TCONS_00000045	PF00017.19	SH2	1	41	77	47.9	7.9e-13
TCONS_00000877	PF13900.1	GVQW	1	25	51	47.4	1.4e-12
TCONS_00000877	PF13900.1	GVQW	27	51	51	50.1	2.1e-13
TCONS_00000878	PF13900.1	GVQW	1	25	51	47.4	1.4e-12
TCONS_00000878	PF13900.1	GVQW	27	51	51	50.1	2.1e-13
TCONS_00000918	PF02023.12	SCAN	5	28	96	23.7	2.1e-05
