Transcript ID	index	score	start	end	length
TCONS_00046525:17	noncoding	-0.0188416	426	522	2214
TCONS_00039093:16	noncoding	-0.0405504	459	621	777
TCONS_00067579:20	noncoding	-0.028672	93	351	505
TCONS_00131352:X	noncoding	-0.0065536	21	30	358
TCONS_00069847:21	noncoding	-0.02048	750	873	2807
TCONS_00099305:6	noncoding	-0.1847296	69	96	1239
TCONS_00001953:1	noncoding	-0.0004096	123	270	747
TCONS_00062386:2	noncoding	-0.0233472	3078	3117	3420
TCONS_00015844:10	noncoding	-0.0114688	108	279	737
