#transcrits_id	length	feature	score
TCONS_00046525:17	2214	noncoding	-0.616575
TCONS_00039093:16	777	noncoding	-0.979608
TCONS_00067579:20	505	noncoding	-1.02601
TCONS_00131352:X	358	noncoding	-0.848453
TCONS_00069847:21	2807	noncoding	-1.09253
TCONS_00099305:6	1239	noncoding	-0.994917
TCONS_00001953:1	747	noncoding	-0.926677
TCONS_00062386:2	3420	noncoding	-0.899871
TCONS_00015844:10	737	noncoding	-1.40712
